numero de instancias: 500 
iteración: 228, distancia: 0.111721466021707, clusters fusionados: 727:[7, 458], Silhouette Score: 0.3543300149850492
iteración: 229, distancia: 0.11182037369897624, clusters fusionados: 728:[655, 424], Silhouette Score: 0.3550094407531679
iteración: 230, distancia: 0.11188376174611177, clusters fusionados: 729:[554, 457], Silhouette Score: 0.35496130182436775
iteración: 231, distancia: 0.11196414414269674, clusters fusionados: 730:[553, 624], Silhouette Score: 0.3546040909902544
iteración: 232, distancia: 0.11223086855491482, clusters fusionados: 731:[659, 488], Silhouette Score: 0.35723130315883417
iteración: 233, distancia: 0.11367208314576335, clusters fusionados: 732:[360, 436], Silhouette Score: 0.35933160852087676
iteración: 234, distancia: 0.11421250946989665, clusters fusionados: 733:[286, 355], Silhouette Score: 0.3598049080801483
iteración: 235, distancia: 0.11477310244372717, clusters fusionados: 734:[580, 130], Silhouette Score: 0.3611512569349607
iteración: 236, distancia: 0.11477849061378624, clusters fusionados: 735:[617, 629], Silhouette Score: 0.3607173852607769
iteración: 237, distancia: 0.11528317061657951, clusters fusionados: 736:[72, 635], Silhouette Score: 0.36114754942271055
iteración: 238, distancia: 0.11551049290677366, clusters fusionados: 737:[60, 639], Silhouette Score: 0.3609840103533503
iteración: 239, distancia: 0.11597762848918049, clusters fusionados: 738:[647, 294], Silhouette Score: 0.36155215622177034
iteración: 240, distancia: 0.11661792583570846, clusters fusionados: 739:[642, 544], Silhouette Score: 0.36123169530969573
iteración: 241, distancia: 0.1187720814896179, clusters fusionados: 740:[31, 388], Silhouette Score: 0.3636287236249093
iteración: 242, distancia: 0.12113476736328134, clusters fusionados: 741:[83, 692], Silhouette Score: 0.36429384524481123
iteración: 243, distancia: 0.12147980643093438, clusters fusionados: 742:[47, 399], Silhouette Score: 0.3664751107258962
iteración: 244, distancia: 0.12215110868019839, clusters fusionados: 743:[225, 405], Silhouette Score: 0.3669300095638355
iteración: 245, distancia: 0.12269744762260613, clusters fusionados: 744:[600, 493], Silhouette Score: 0.367595835177554
iteración: 246, distancia: 0.1230178502564376, clusters fusionados: 745:[676, 310], Silhouette Score: 0.3688569260493828
iteración: 247, distancia: 0.12355974386560488, clusters fusionados: 746:[179, 412], Silhouette Score: 0.3703613566761045
iteración: 248, distancia: 0.12397264369603783, clusters fusionados: 747:[311, 495], Silhouette Score: 0.37166710171220835
iteración: 249, distancia: 0.1243674924823419, clusters fusionados: 748:[346, 473], Silhouette Score: 0.37268115711572125
